,0.54973,0.38778,0.42486,0.52812,0.3,0.45007,0.50682,0.52632,0.46728,0.47503,0.40278,0.22657,0.44184,0.2443,0.40548,0.55105,0.3356,0.45973,0.37413,0.40972,0.42155,0.40107,0.42468,0.41463,0.26492,0.44314,0.46035,0.38225,0.50935,0.4919,0.37663,0.44125,0.48604,
,,0.48931,0.55664,0.54727,0.4335,0.46809,0.38391,0.34658,0.50942,0.42288,0.47707,0.21501,0.51569,0.26874,0.45353,0.55331,0.50244,0.55399,0.47758,0.48366,0.5166,0.44168,0.42505,0.39597,0.43716,0.48976,0.35732,0.39867,0.45815,0.27117,0.45892,0.41521,0.47106,
,,,0.41924,0.41958,0.45304,0.47978,0.49208,0.40979,0.4708,0.43954,0.40973,0.32923,0.42343,0.482,0.44222,0.34766,0.40994,0.51391,0.49657,0.42745,0.40283,0.38666,0.39376,0.41167,0.47318,0.37276,0.51359,0.59787,0.32154,0.24047,0.47716,0.39108,0.41673,
,,,,0.30815,0.4586,0.42284,0.41892,0.28652,0.40358,0.39292,0.45825,0.36101,0.59422,0.40188,0.40169,0.56059,0.4146,0.50115,0.43624,0.32945,0.53761,0.59605,0.29551,0.28443,0.48553,0.3887,0.37706,0.4179,0.32329,0.17491,0.33817,0.34464,0.34076,
,,,,,0.34873,0.41755,0.40269,0.43474,0.38257,0.38336,0.39685,0.33182,0.33753,0.2512,0.349,0.56262,0.56647,0.38625,0.34163,0.43888,0.5085,0.34919,0.34054,0.3519,0.3826,0.46176,0.4315,0.45903,0.48195,0.46502,0.43192,0.55228,0.49225,
,,,,,,0.29693,0.35541,0.52891,0.38382,0.51523,0.27996,0.41528,0.5167,0.58549,0.38606,0.39192,0.5134,0.43796,0.47418,0.50448,0.501,0.37481,0.29928,0.50809,0.57384,0.45543,0.44436,0.46994,0.25613,0.29962,0.39998,0.50685,0.37459,
,,,,,,,0.42386,0.39726,0.43554,0.27572,0.547,0.35743,0.37949,0.37517,0.44966,0.48931,0.38728,0.33574,0.43058,0.33626,0.39227,0.51144,0.30922,0.41342,0.30806,0.33154,0.46376,0.42106,0.37174,0.25337,0.53527,0.36596,0.31198,
,,,,,,,,0.52448,0.5116,0.3461,0.59323,0.40728,0.33724,0.42113,0.34924,0.38856,0.39635,0.52923,0.30445,0.40377,0.48895,0.34483,0.50794,0.3985,0.19513,0.50036,0.50293,0.33979,0.23997,0.2733,0.3346,0.37581,0.43298,
,,,,,,,,,0.42769,0.36258,0.47171,0.49502,0.44075,0.4417,0.38225,0.40708,0.48958,0.42798,0.4128,0.3833,0.41104,0.32601,0.32476,0.38925,0.32763,0.29161,0.38318,0.41918,0.4039,0.40431,0.44992,0.56984,0.30175,
,,,,,,,,,,0.46852,0.41334,0.26146,0.3412,0.33757,0.45386,0.44408,0.45206,0.47648,0.35369,0.43392,0.4594,0.36516,0.5651,0.43924,0.44864,0.35538,0.49886,0.2806,0.37372,0.24767,0.39395,0.32056,0.42689,
,,,,,,,,,,,0.29865,0.17284,0.37722,0.33004,0.29988,0.32036,0.35744,0.44853,0.29859,0.49321,0.40787,0.26377,0.4706,0.39274,0.5306,0.43432,0.46319,0.3735,0.3389,0.50312,0.26584,0.32924,0.43987,
,,,,,,,,,,,,0.46362,0.27333,0.3617,0.34352,0.43387,0.49028,0.2976,0.27616,0.27593,0.36799,0.43192,0.41252,0.3216,0.19274,0.30199,0.41083,0.37469,0.43267,0.34468,0.45609,0.3933,0.3517,
,,,,,,,,,,,,,0.34447,0.74656,0.2799,0.45351,0.46172,0.25009,0.38325,0.23102,0.38394,0.42873,0.22476,0.36431,0.34693,0.27961,0.40547,0.41118,0.35747,0.32481,0.42199,0.41817,0.25894,
,,,,,,,,,,,,,,0.36507,0.4567,0.46311,0.4514,0.5892,0.53654,0.48019,0.49365,0.48197,0.34226,0.40974,0.4503,0.31889,0.29678,0.48788,0.38101,0.32837,0.38942,0.38346,0.48746,
,,,,,,,,,,,,,,,0.39924,0.37768,0.50427,0.40773,0.47845,0.36332,0.33145,0.44935,0.23465,0.4191,0.45634,0.39657,0.53872,0.37603,0.27965,0.31497,0.4796,0.32489,0.29497,
,,,,,,,,,,,,,,,,0.30342,0.52409,0.52099,0.54281,0.37174,0.27753,0.41268,0.44541,0.29671,0.22319,0.27698,0.37523,0.42973,0.56487,0.28225,0.45959,0.33861,0.4131,
,,,,,,,,,,,,,,,,,0.44267,0.27631,0.46385,0.40871,0.50509,0.54281,0.2032,0.3795,0.36002,0.39761,0.45065,0.46457,0.41463,0.36622,0.46456,0.44241,0.31679,
,,,,,,,,,,,,,,,,,,0.51377,0.4317,0.52956,0.44539,0.39264,0.3876,0.45739,0.42104,0.42306,0.39153,0.43001,0.47305,0.29613,0.4326,0.54282,0.4269,
,,,,,,,,,,,,,,,,,,,0.45057,0.59033,0.38871,0.39662,0.57816,0.33998,0.4374,0.40836,0.3258,0.31938,0.30294,0.26688,0.33804,0.30085,0.51478,
,,,,,,,,,,,,,,,,,,,,0.33169,0.44793,0.45759,0.20245,0.42416,0.43206,0.30125,0.41157,0.52091,0.46459,0.22426,0.3632,0.44925,0.43563,
,,,,,,,,,,,,,,,,,,,,,0.4271,0.18594,0.49174,0.4807,0.45804,0.50977,0.34098,0.37644,0.26204,0.33614,0.34452,0.33829,0.49376,
,,,,,,,,,,,,,,,,,,,,,,0.41363,0.36372,0.43114,0.47628,0.4334,0.40408,0.51564,0.24801,0.20891,0.36326,0.54604,0.45625,
,,,,,,,,,,,,,,,,,,,,,,,0.18081,0.30344,0.37345,0.39046,0.45096,0.35988,0.36372,0.26822,0.35854,0.37965,0.29106,
,,,,,,,,,,,,,,,,,,,,,,,,0.44639,0.38708,0.24004,0.35361,0.32155,0.32054,0.25657,0.34524,0.24072,0.45516,
,,,,,,,,,,,,,,,,,,,,,,,,,0.44631,0.46717,0.41369,0.44551,0.29836,0.36638,0.46098,0.57947,0.5024,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.31648,0.47727,0.40925,0.20954,0.24552,0.35612,0.4137,0.3982,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44777,0.23971,0.2328,0.46767,0.3693,0.4441,0.46136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39132,0.38184,0.42484,0.51895,0.41866,0.39599,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39316,0.28683,0.45833,0.55141,0.44082,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47413,0.37974,0.40314,0.3585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41636,0.46009,0.43332,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42357,0.35511,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47182,
